,Verse,B1,P3,To,W1,Normalized
20,116,Nesciat esse tuum pauperiemque tuam,Nesciat esse tuum pauperiemque tuam,Nesciat esse tuum pauperiemque tuam,Nesciat esse tuum pauperiemque tuam,at þú leyn hana vesǫlð þinni ok fátǿkð
21,117,Exiguo pulcram ducit sollercia uitam,Exiguo pulcram ducit sollercia uitam,Exiguo pulcram ducit sollercia uitam,Exiguo pulcram ducit sollercia uitam,snotr hefir fagra meðferð þó at lítit eigi
22,118,Iocundoque suas ore tegit lacrimas,Iocundoque suas ore tegit lacrimas,Iocundoque suas ore tegit lacrimas,Iocundoque suas ore tegit lacrimas,ok þó fram fǿrir gyllta rǿðu at í brjósti grát búi
23,119,Quod non est simulare potes dictis habituque,Quod non es simulare potes dictis habituque,Quod non es simulare potes dictis habituque,Quod non es simulare potes dictis habituque,Seg þik með orðum auðgari vera
24,12,Nam solet ars dominum sepe iuuare suum,Nam solet ars dominum sepe iuuare suum,Nam solet ars dominum sepe iuuare suum,Nam solet ars dominum sepe iuuare suum,ok vél helpr oft sínum dróttni
25,120,Maxima sors paruo - contingit ingenio,Maxima sors paruo - contigit ingenio,Maxima sors paruo - contigit ingenio,Maxima pars uel sors contigit ingenio,"því at stórir
 hlutir ǫðlask með athygli"
26,121,Plurima mundus habet sua que uicina nescit,Plurima mundus habet sua que uicinia nescit,Plurima mundus sua que habet uicinia nescit,Plurima mundus habet sua que uicina nescit,"ok verǫld hefir
 marga hluti þá er allir vitu"
27,122,De quibus apta sibi plura referre potes,De quibus apta sibi plura referre potes,De quibus apta sibi plura referre potes,De quibus apta tibi plura referre potes,ok af slíku mǽtti henni margt segja
28,123,Crede quod interdum multis mendacia prosunt,Credo quod interdum multis mendacia prosunt,Crede quod interdum multis mendacia prosunt,Crede quod interdum multis mendacia prosunt,trú þú því at mǫrgum stoðar mikit at ljúga
29,124,Et quandoque nocet omnia uera loqui,Et quandoque nocet omnia uera loqui,Et quandoque nocet omnia uere loqui,Et quandoque nocet omnia uera loqui,stórum spillir manni stundum satt at segja
30,125,Et famulos famulasque domus sibi sepe loquendo,Et famulos famulasque domus sibi sepe loquentes,Et famulos famulasque domus sibi sepe loquentes,Et famulos famulasque domus sibi sepe loquentes,finn þá er málvinir hennar eru
31,126,Allice colloquijs muneribusque tuis,Allice colloquijs muneribusque tuis,Allice colloquijs muneribusque tuis,Allice colloquijs muneribusque tuis,þá skalt þú oft gjǫfum gǿla ok með fagrmǽli fǿða
32,127,Vt semper referat de te bona uerba uicissim,Vt semper referant de te bona uerba uicissim,Vt semper referant de te bona uerba uicissim,Vt semper referant de te bona uerba uicissim,at þeir rǿði hverr við annan gott um þik
33,128,Et pascant dominam laudibus semperque tuam,Et pascant dominam laudibus usque tuam,Et pascant dominam laudibus tuis usque,Et pascant dominam laudibus usque tuam,ok þeir mǽli við meyna með lofi þínu
34,129,Dum dubias dubio mentes in pectore uersat,Dum dubio dubias mentes in pectore uersat,Dum dubias dubio mentes in pectore uersat,Dum dubias dubio mentes in corpore uersat,en þá er hon íhugar
35,13,Si mea pla suos denudet in ordine uultus,Si mea plaga suos denudet in ordine uultus,Si mea plaga suos denudet in ordine uultus,Si mea plaga suos denudet in ordine uultus,"En mitt sár birtir sik með réttri skipan
"
36,130,En faciat uel non nesciat uelle tuum,An faciat uel non nescia nulle suum,An faciat uel non nescia uelle tuum,An faciat uel non nescia uelle tuum,hvárt hon skal eða eigi þinn vilja gera
37,131,Tunc illam multo tempore sepe fatiga,Tunc illam multo temptamine sepe fatiga,Tunc illam multo temptamine sepe fatiga,Tunc illam multo temptamine sepe fatiga,þá skalt þú helzt hana með orðum vaska
38,132,Et tucius possis uictor amore frui,Vt cicius possis uictor amore frui,Vt cicius possis uictor amore frui,Vt cicius possis uictor amore frui,at þú megir ástarsigr af henni fá
39,133,Pellitur huc animus hominum uel depellitur illuc,Pellitur huc animus hominum uel pellitur illuc,Pellitur huc animus hominis uel pellitur illuc,Pellitur huc animus hominum uel pellitur illuc,Oft rennr hugr manns til ok frá
40,134,Sepe labore breui dum manet in dubio,Sepe labore breui dum manet in dubio,Sepe labore breui dum manet in dubio,Sepe labore breui spes manet in dubio,af lítilli rǿðu þar er áðr var ifan á
41,135,Et placeat uobis fidus interpres utrisque,Et placeat uobis interpres semper utrisque,Et placeat uobis interpres semper utrisque,Et placeat uobis interpres semper utrisque,látið ykkr líka tulk at hafa
42,136,Qui caute referat hoc quod uterque cupit,Qui caute referet hoc quod uterque cupit,Qui caute referat hoc quod uterque cupit,Qui caute referat hoc quod uterque cupit,"þann er hvárttveggja kunni fyrst lǽvísliga
 at segja"
43,137,Emula nam iuuenum diiudicat acta senectus,Emula nam iuuenum diiudicat acta senectus,Emula nam iuuenum diiudicat acta senectus,Emula iam iuuenum diiudicat acta senectus,því at ǫfundsjúk elli fyrirdǿmir tiltǿki ǿskumanna
44,138,Et simul hos prohibet litigiosa loqui,Et simul hos prohibet litigiosa loqui,Et simul hos prohibet litigiosa loqui,Et simul hos prohibet litigiosa loqui,ok þat meinar vit at mǽla er til ósǽttar er
45,139,Incipe Spe melius dedit et dabit omnia tempus,Incipe Spe melius dedit et dabit omnia tempus,Incipe Spe melius dedit et dabit omnia tempus,Incipe Spe melius dedit et dabit omnia tempus,
46,14,Qui sit et unde uenit et quis arma posuit,Et ferat unde uenit armaque quis posuit posuit,Que sit et unde uenit arma quis et posuit,Que sit et unde uenit armaque quis posuit posuit,hvílíkt þat er eða hvaðan þat kom
47,140,Nec timor ullus erit in quibus esse times,Non timor ullus erit in quibus esse times,Nec timor ullus erit in quibus esse times,Nec timor ullus erit in quibus esse times,
48,141,Non tibi plus dicam uinces studiosus amicam,Non tibi plus dicam uinces studiosus amicam,Non tibi plus dicam uinces studiosus amicam,Non tibi plus dicam uinces studiosus amicam,en fátt mun ek fleira við þik mǽla
49,142,Inceptumque uijs mille patebit opus,Inceptumque uijs mille patebit opus,Inceptumque uijs mille patebit opus,Inceptumque uijs mille patebit opus,"er þúshundruð vega liggja breiddir
 þegar þér til þíns máls"
50,143,Incolumis egro leuiter solacia prebet,Incolumis leuiter egro solacia prebet,Incolumis leuiter egro solacia prebet,Incolumis leuiter egro solacia prebet,Réttliga veitir heil huggan gleði sjúkum manni
51,144,Nec minus infirmus sentit adesse malum,Nec minus infirmus sentit abesse malum,Nec minus infirmus sentit adesse malum,Nec minus infirmus sentit abesse malum,ok at minnr kennir hann sinnar sóttar
52,145,Consilio Veneris michi non dolor alleuiatur,Consilio Veneris michi non dolor alleuiatur,Consilio Veneris michi non dolor alleuiatur,Consilio Veneris michi non dolor alleuiatur,"harmr linar lítt með mér af góðrǽðum kvennagyðju
"
53,146,Sed meus in tristi pectore regnat amor,Sed meus in tristi pectore sedet amor,Sed meus in tristi pectore regnat amor,Sed meus in tristi corpore uersat amor,heldr ríkir í hryggu brjósti ást mín
54,147,Hactenus auxilij michi spes fuit omnis in illa,Hactenus auxilij michi spes fuit omnis in illa,Attenus auxilij michi spes fuit omnis in illa,Hactenus auxilij michi spes fuit omnis in illa,ván var mér ǫll í hendr fengin sú sem til hjalpar lá
55,148,Opes modo discessit et manet ipse dolor,Spes modo discessit et manet ipse dolor,Spes modo discessit et manet ipse dolor,Spes modo discessit et manet ipse dolor,En nú er folgin ván ok í brott farin ok harmr í stað kominn
56,149,Non miser euadam me nauta reliquit in undis,Non miser euadam me nauta reliquit in undis,Non miser euadam me nauta reliquit in undis,Non miser euadam me nauta reliquit in undis,því mun ek eigi undan ganga Mik hefir skipari minn á firði fyrirlátit
57,15,Perdet et ipsa sue fortassis spem medicine,Perdet et ipse sue fortassis spem medicine,Perdit et ipsa sue fortassis spem medicine,Perdet et ipse sue fortassis spem medicine,Ok mun sár vaxa án lǽknis
58,150,Et portum quero nec reperire queo,Et portum quero nec reperire queo,Et portum quero non reperire queo,Et portum quero nec reperire queo,"ok ek hafnar
 leita ok má ek ei finna"
59,151,Sed modo quid faciam Mea mens modo spectat ad illam,Sed modo quid faciam Nam mens modo spectat ad illam,Sed modo quid faciam Mea spes modo spectat ad illam,Sed modo quid faciam Mea mens modo spectat ad illam,hvat skal ek til taka mín ván lítr nú til hennar
60,152,Illi me nouiter conuenit inde loqui,Illi me nouiter conuenit ire loqui,Illi me nouiter conuenit ire loqui,Illic me nouiter conuenit ire loqui,mér hǿfir brátt hana at finna
61,153,Quam formosa Deus nudis uenis ipsa capillis,Quam formosa Deus nudis uenit illa capillis,Quam formosa Deus nudis uenit illa capillis,Quam formosa Deus nudis uenit illa capillis,O hosson hversu fǫgr hon sitr með beru hári
62,154,Quantus et esset ei nunc locus inde loqui,Quantus et esset ei nunc locus ire loqui,Quantus et esset ei nunc locus inde loqui,Quantus et esset ei nunc locus inde loqui,"ok hvé gott nú vǽri um þat at rǿða við hana
"
63,155,Sed sumpto tanti michi nunc uenire timores,Sed subito tanti michi nunc uenere timores,Sed subito tanti michi nec uenere timores,Et subito tanti michi nam uenere timores,
64,156,Nec mea mens mecum nec mea uerba manent,Nec mea mens mecum nec mea uerba manent,Nec mea mens mecum nec mea uerba manent,Nec mea mens mecum nec mea uerba manent,hyggja engi er með mér né orð
65,157,Nec michi sunt uires trepidantque manus pedesque,Nec michi sunt uires trepidantque pedesque manusque,Nec michi sunt uires trepidant manusque pedesque,Nec michi sunt uires trepidantque manusque pedesque,hvárki afl ekki hendr skjalfa fǿtr bifask
66,158,Attonitoque nullus congruus est habitus,Attonito nullus congruus est habitus,Attonito nullus congruus est habitus,Attonito nullus congruus est habitus,"mér hamstolnum
 samir engi klǽðabúnaðr"
67,159,Mentis in affectu sibi dicere plura paraui,Mentis in aspectu sibi dicere plura paraui,Mentis in affectu sibi dicere plura putaui,Mentis in affectum sibi dicere plura paraui,er áðr hugt hafða
68,16,Opes reficit dominum fallit et ipsa suum,Spes reficit dominum fallit et ipsa suum,Spes reficit dominum fallit et ipsa suum,Spes reficit dominum fallit et ipsa suum,
69,160,Sed timor excussit dicere que uolui,Sed timor excussit dicere que uolui,Sed timor excussit dicere que uolui,Sed timor excussit dicere que uolui,hrǽzla níttar þat at mǽla
70,161,Non sum qui fueram uix me cognoscere possum,Non sum qui fueram uix me cognoscere possum,Non sum qui fueram uix me cognoscere possum,Non sum qui fueram uix me cognoscere possum,eigi em ek sá er ek áðr var trautt kann ek sjalfan mik
71,162,Nec bene uox sequitur sed tantum inde loquar,Nec bene uox sequitur sed tamen inde loquor,Nec bene uox sequitur sed tantum inde loquar,Non bene uox loquitur sed tamen inde loquar,"eigi fylgir
 rǫdd né raust en þó verð ek at rǿða"
72,163,Alterius uille mea neptis mille salutes,Alterius uille mea neptis mille salutes,Alterius uille neptis mea mille salutes,Alterius uille mea neptis mille salutes,"Ein frǽndkona ór bǿ ǫðrum sendi þér þúsund
 kveðju"
73,164,Per me mandauit officiumque tibi,Per me mandauit officiumque tibi,Per me mandauit officiumque tibi,Per me mandauit officiumque tibi,hon bauð þér með með mér þjónkan sína
74,165,Hec te cognoscit dictis et nomine tantum,Et te cognoscit dictis et nomine tantum,Hec te cognoscit dictis et nomine tantum,Non te cognoscit dictis et nomine tantum,ok kann hon þik at nafni ok sǫgn manna at eins
75,166,Sed te si locus est ipsa uidere cupit,Sed te si locus est ipsa uidere cupit,Et te si locus est ipsa uidere cupit,Sed te si locus est ipsa uidere cupit,ok hon þik fýsisk at finna ef staðr vǽri til
76,167,Illic me uoluere mei retinere parentes,Illic me uoluere mei retinere parentes,Illic me uoluere mei retinere parentes,Illic me uoluere mei retinere parentes,ok þar vildu mínir frǽndr mik margir hefta
77,168,De quibus electis uilla redundat ibi,De quibus electis uilla redundat ibi,De quibus electis uilla redundat ibi,De quibus electis uilla redundat ibi,þar var borg full minna beztu frǽnda
78,169,Hij michi spondebant cum summa dote puellam,Hij michi spondebant cum summa dote puellam,Hij michi spondebant cum summa dote puellam,Hij michi spondebant cum summa dote puellam,ok þeir hétu mér allfagri mey með miklu fé
79,17,Si tegat ex toto faciem motusque doloris,Si tegat ex toto faciem motusque doloris,Si tegat ex toto faciem motusque doloris,Si tegat ex toto faciem motusque doloris,En ef sár fellir með ǫllu ásjá sína ok nǿring harms síns
80,170,Pluraque que non est cura referre modo,Pluraque que non est cura referre modo,Pluraque est cura referre modo quere,Pluraque que non est cura referre modo,ok margt annat þat er eigi þarf nú at segja
81,171,Omnia postposui tu sola michi placuisti,Omnia postposui tu sola michi placuisti,Omnia postposui tu sola michi placuisti,Omnia postposui tu sola michi placuisti,ok hvatvetna hafnaða ek þú ein líkar mér
82,172,Respuerem pro te quicquid in orbe manet,Respuerem pro te quicquid in orbe manet,Respuerem pro te quicquid in orbe manet,Respuerem pro te quicquid in orbe manet,"hafna
 mynda ek fyrir eina þik allt þat er í heimi er"
83,173,Ludendo loquimur loquitur sic sepe iuuentus,Ludendo loquimur loquitur sic sepe iuuentus,Ludendo loquimur loquitur sic sepe iuuentus,Ludendo loquimur loquitur sic sepe iuuentus,"mǽlum leikandi oft gerir ást svá leikblandit
"
84,174,Verbula ficta iocis iurgia nulla mouent,Verbula ficta iocis iurgia nulla mouent,Verbula mixta iocis iurgia nulla mouent,Verbula ficta iocis iurgia nulla mouent,
85,175,Sed modo dicamus cordis secreta uicissim,Sed modo dicamus cordis secreta uicissim,Sed modo dicamus cordis secreta uicissim,Sed modo dicamus cordis secreta uicissim,segi hvárt ǫðru hvat í hjarta býr
86,176,Dictaque preter nos nesciat alter alter homo,Dictaque preter nos nesciat alter - homo,Dictaque preter nos nesciat alter - homo,Dictaque preter nos nesciat alter - homo,"en þat er vit rǿðum þat skal engi
 annarr vita"
87,177,Demus et inde fidem fieri sic Postea dicam,Demus et inde fidem fieri sic Postea dicam,Demus et inde fidem fieri sic Postea dicam,Demus et inde fidem fieri sic Postea dicam,handseli hvárt okkart ǫðru þat þá mun ek segja
88,178,Primitus incepi primitus inde loquar,Primitus incepi primitus inde loquar,Primitus incepi primitus inde loquar,Primitus incepi primitus unde loquar,ek hóf upp ok mun ek fyrst um rǿða
89,178,Primitus incepi primitus inde loquar,Primitus incepi primitus inde loquar,Primitus incepi primitus inde loquar,Primitus incepi primitus unde loquar,"Vit nú bǽði skulum samsátt
 vera ok satt eitt rǿða"
90,179,Nos modo concordes debemus uera fateri,Nos modo concordes debemus uera fateri,Nos modo concordes debemus uera fateri,Nos modo concordes debemus uera fateri,
91,18,Et magnam querat plaqa salutis opem,Et nunquam querat plaqa salutis opem,Et nunquam querat plaqa salutis opem,Et nunquam querat plaqa salutis opem,þá mun sár enga hjalp finna
92,180,Gracior in mundo te michi nulla manet,Gracior in mundo te michi nulla manet,Gracior in mundo te michi nulla manent,Gracior in mundo te michi nulla manet,engi er sú í þeim heimi er mér betr líkar en þú
93,181,Et te dilexi iam ter pertransijt annus,Vt te dilexi iam ter pertransijt annus,Vt te dilexi iam ter pertransijt annus,Vt te dilexi iam ter pertransijt annus,"sjá er hinn þriði vetr síðan genginn er ek ást á þik lagða
"
94,182,Nostra nec ausus eram uota referre tibi,Vota nec ausus eram nostra referre tibi,Nostra nec ausus eram nota referre tibi,Nostra nec ausus eram uota referre tibi,ok þorða eigi þér at segja vára ást
95,183,Tempore non longo loquitur sapiencia surdo,Tempore non longo loquitur sapiencia surdo,Tempore non longo loquitur sapiencia surdo,Tempore non longo loquitur sapiencia surdo,vitr kann skilja halfkveðit orð
96,184,Nosque diu frustra non decet inde loqui,Nosque diu frustra non licet inde loqui,Nosque diu frustra non decet inde loqui,Nosque diu frustra non decet inde loqui,at sinni skulum vit þat eigi lengra rǿða
97,185,Te constanter amo modo plus - dicere nolo,Te constanter amo modo plus tibi dicere nolo,Te constanter amo modo plus tibi dicere nolo,Te constanter amo modo plus tibi dicere nolo,þér ann ek staðfastliga en nú vil ek þér eigi fleira segja
98,186,Donec tu dicas quid placet inde tibi,Donec tu dicas quid placet inde tibi,Donec tu dicas quid placet inde tibi,Donec tu dices quid placet inde tibi,fyrr en þú segir mér hvat um þat líkar þér
99,186,Donec tu dicas quid placet inde tibi,Donec tu dicas quid placet inde tibi,Donec tu dicas quid placet inde tibi,Donec tu dices quid placet inde tibi,Svá hafa margir margar svikit með mikilli freistni
100,187,"""Sic multi multas multo temptamine fallunt","""Sic multi multas multo temptamine fallunt","""Sic multi multas multo temptamine fallunt","""Sic multi multas multo temptamine fallunt",
101,188,Sic multas fallit ingeniosus amor,Sic multas fallit ingeniosus homo,Sic multas fallit ingeniosus homo,Sic multas fallit ingeniosus amor,"svá svíkr margr bragðsamr
"
102,189,Infature - tuo sermone uel arte putasti,Infatuare - tuo sermone uel arte parasti,Infatuare - tuo sermone uel arte putasti,Me fatuare tuo sermone uel arte putasti,þú hugðisk heimska gera mik með þinni vél eða rǿðu
103,19,Forsitan euenient peiora prioribus illis,Forsitan euenient peiora prioribus illis,Forsitan euenient peiora prioribus illis,Forsitan euenient peiora prioribus,"Ok því øfra mun þat verra verða
"
104,190,Quam falli uestro non decet ingenio,Quam falli uestro non decet ingenio,Quam uestro falli non decent ingenio,Quam falli nostro non decet ingenio,þá er eigi hǿfir þér at svíkja
105,191,Quere tuis alias incestis moribus aptas,Quere tuis alias incestis moribus aptas,Quere tuis alias incestis moribus aptas,Quere tuis alias incestis moribus aptas,Finn þér aðrar óspǫkum siðum hǿfiligar
106,192,Quas tua falsa fides et dolus infatuet,Quas tua falsa fides et dolus infatuet,Quas tua falsa fides et dolus infatuet,Quas tua falsa fides et dolus infatuet,þǽr er þú megir með þinni flǽrðsamri trú heimska heimskar gera
107,193,"""Sepius impediunt iustos peccata malorum","""Sepius impediunt iustos peccata malorum","""Sepius impediunt iustos peccata malorum","""Sepius impediunt iustos peccata malorum",Oft spillir fyrir ǫðrum góðum mǫnnum synðir illra
108,194,Sic nocet alterius non mea culpa michi,Hic nocet alterius non mea plaga michi,Hic nocet alterius non mea culpa michi,Hic nocet alterius non mea culpa michi,"sem nú spillir fyrir mér annars
 lǫstr en eigi minn"
109,195,Sed tamen auscultet gracia me uestra benigne,Sed tamen auscultet me gracia uestra benigne,Sed tamen auscultet me gracia uestra benigne,Sed tamen auscultet me gracia uestra benigne,"heldr hlýði mér góðgjarnliga
 miskunn yður"
110,196,Et liceat - domine dicere pauca mee,Et liceat - domine pauca referre mee,Et liceat michi domine pauca referre mee,Et liceat - domine dicere pauca mee,ok lofa mér at rǿða nǫkkut við lafddi mína
111,197,Inde Deum celi testor quoque numina terre,Inde Deum celi testor quoque numina terre,Inde Deum celi testor quoque numina terre,Inque Deum celi testor quoque numina terre,"ok þat sver ek við himnaguð
 ok helga jǫrð"
112,198,Non loquor ista tibi fraude uel ingenio,Non loquor ista tibi fraude uel ingenio,Non loquor ista tibi fraude uel ingenio,Non loquor ista tibi fraude uel ingenio,at eigi mǽli ek þetta við þik af svikum né vél
113,199,Hoc manet in mundo te non michi gracior ulla,Hoc manet in toto te non michi gracior ulla,Hoc manet in mundo non te michi gracior ulla,Hoc manet in mundo te non michi carior ulla,"engi er í þessi verǫld jafnkǽr
 mér sem þú"
114,2,Crescit et assidue plaga dolorque michi,Crescit et assidue pena dolorque michi,Crescit et assidue plaga dolorque michi,Crescit et assidue plaga dolorque michi,Sár ok harmr vex mér jafnan
115,20,Et me continget protinus inde mori,Et michi contingit pocius inde mori,Et me continget protinus inde mori,Et me continget protinus inde mori,ok þaðan af mun mér brátt bana fá
116,200,Carius et nullam mens animusque uident,Carius et nullam mens animusque uidet,Carius et nichil mens animusque uidet,Carius et nullam mens animusque uidet,ok er sú mín hugleiðing ok hyggja
117,200,Carius et nullam mens animusque uident,Carius et nullam mens animusque uidet,Carius et nichil mens animusque uidet,Carius et nullam mens animusque uidet,Ho ófyrirsynju rǿdda ek nú svá margt því at hyggja þín er svá bernsk ok aldr
118,201,Sed loquor incassum tua mens puerilis et etas,Sed loquor incassum tua mens puerilis et etas,Sed loquor incassum tua mens puerilis et etas,Sed loquor incassum tua mens puerilis et etas,
119,202,Quid nocet aut prodest noscere nescis adhuc,Quid nocet aut prodest noscere nescit adhuc,Quod nocet aut prodest noscere nescit adhuc,Quod nocet aut prodest noscere nescit adhuc,at trautt kann skynja hvat þér hǿfir
120,203,Iunior antiqua quamuis sit acucior etas,Iunior antiqua quamuis sit acucior etas,Iunior antiqua quamuis sit acucior etas,Iunior antiqua quamuis sit acucior etas,því at ǿskualdr er ljósari hinum øfra
121,204,Iam cum multa senes plura uident iuuenes,Nam cum multa senes plura uident iuuenes,Nam cum multa senes plura uident iuuenes,Nam cum multa senes plura uident iuuenes,því at margt sjá ungir vel en fleira vitu gamlir vel
122,205,Et quamuis - iuuenis fac ut cognoscere possis,Et quamuis - iuuenis fac ut cognoscere possis,Et quamuis sis iuuenis fac ut cognoscere possis,Et quamuis - iuuenis fac ut cognoscere possis,ok þó at þú sér ung þá haga þó svá at þú kunnir skilja
123,206,Quis sim que mea res quisue meus sit amor,Quis sim que mea res quisue meus sit amor,Quid sit que mea res quisue meus sit amor,Quis sim que mea res quisue meus sit amor,hverr ek em eða hvat ek á eða hver mín ást er til þín
124,207,Iunctarum rerum prudencia discitur usu,Cunctarum rerum prudencia discitur usu,Cunctarum rerum prudencia discitur usu,Cunctarum rerum prudencia discitur usu,"því at
 lǽvísi allra hluta nemsk með venju"
125,208,Vsus que ars docuit quod sapit omnis homo,Vsus et ars docuit quod sapit omnis homo,Vsus et ars docuit quod sapit omnis homo,Vsus et ars docuit quod sapit omnis homo,ok venja kennir þér allt þat er maðr kann
126,209,Pre uenire loqui necnon dare uerba uicissim,Ire uenire loqui necnon dare uerba uicissim,Ire uenire loqui necnon dare uerba uicissim,Ire uenire loqui necnon dare uerba uicissim,ganga mǽla koma ok rǿðask við
127,21,Estimo monstrari melius nam conditus igni,Estimo monstrari melius nam conditus ignis,Estimo monstrari melius iam conditus ignis,Estimo monstrari melius nam conditus ignis,
128,210,Esse simul tantum deprecor ut liceat,Esse simul tantum deprecor ut liceat,Esse simul tamen deprecor ut liceat,Esse simul tantum deprecor ut liceat,ok vera saman þess bið ek þik at þú lofir
129,211,Non nisi colloquio cognoscimus intima cordis,Nec nisi colloquio cognoscimus intima cordis,Non nisi colloquio cognoscimus intima cordis,Non nisi colloquio cognoscimus intima cordis,því at af viðrǿðu veit hvárttveggja hvat í annars hjarta býr
130,212,Ipsa referre potes quid placet inde tibi,Ipsa referre potes quid placet inde tibi,Ipsa referre potes quid placet inde tibi,Ipsa referre potes quod placet inde tibi,þat mátt þú mér segja hvat er þér líkar af því
131,213,"""Ire uenire loqui tibi nec cuiquam prohibebo","""Ire uenire loqui tibi nec cuiquam prohibebo","""Ire uenire loqui tibi non proibebo cuiquam","""Ire uenire loqui tibi nec cuiquam prohibebo",Ganga ok mǽla ok koma þat mun ek þér ok engum meina
132,214,Quisquis ubique uias ire uiator habet,Quisquis ubique uias ire uiator habet,Quisquis ubique uias ire uiator habet,Quisquis ubique uias iure uiator habet,hverr maðr á víða vegu
133,215,Conuenit et est honor ut det responsa petenti,Conuenit est et honor ut det responsa petenti,Conuenit et est honor ut det responsa petenti,Conuenit est et honor qoud det responsa petenti,þó hǿfir mér at svara hverjum þeim er orða krefr
134,216,Et quoscunque uidet queque puella uocet,Et quemcunque uidet queque puella nocet,Hee quoscunque uidet queque puella uocet,Et quoscunque uidet queque puella uocet,
135,217,Hoc concedo satis uel tu nel quilibet alter,Sed concedo satis ut tu nel quilibet alter,Hoc concedo satis uel tu nel quilibet alter,Hoc concedo satis uel tu nel quilibet alter,því játa ek at þú ok hverr er vill
