,Verse,P3
163,246,Figitur in ripis anchora noscra suis
164,247,Me subito nimium Deus et Fortuna beauit
165,248,Nam diues redeo qui miser ante fui
166,249,Illius hec frustra quod sim memor illa rogauit
167,25,Vnica spes uite nostre Venus inclita salue
168,250,Quam de mente mea nec labor excuteret
169,251,Non mecum sentit ut eam desidero nescit
170,252,Sum uelud ipse fui sit memor ipsa mei
171,253,Pluribus expedior et adhuc me plura cohercent
172,254,De quibus ipse meum nescio consilium
173,255,Si studiosus eam uerbisque iocisque frequentem
174,256,Auferet assuetas garrula fama uias
175,257,Firmet amiciciam si nulla frequencia nostram
176,258,Non bene firmus adhuc forsan abibit amor
177,259,Vsu crescit amor omnis decrescit in usu
178,26,Que facis imperio cuncta subire tuo
179,260,Omnis et impastus attenuatur amor
180,261,Perpetuo crescit lignis crescentibus ignis
181,262,Detrahe ligna ligna foco protinus ignis abest
182,263,Sollicititis curis tantis tacitisque periclis
183,264,Detrahor in quantis nescio mente modis
184,265,Hac in re nullam uideo michi prosperitatem
185,266,Non habet et tutum mens mea propositum
186,267,Obstitit interdum factis Fortuna uirorum
187,268,Propositumque suo non sinit esse loco
188,269,Sic multis nocuit multos tamen illa beauit
189,27,Quam timet alta ducum seruitque potencia regum
190,270,Viuit in hoc mundo taliter omnis homo
191,271,Prouidet et tribuit Deus et labor omnia nobis
192,272,Proficit absque Deo ullus in orbe labor
193,273,Sit Deus ergo mei custos rectorque laboris
194,274,Omne gubernet opus propositumque meum
195,275,Non meus interpres fuerit fraterque neposque
196,276,Nam nullus leuiter inuenit inde fidem
197,277,Iura fidemque nepos nescit seruare nepoti
198,278,Nec frater fratri cum uenit ille furor
199,279,Causa pusilla nocet sapiensque nocencia uitat
200,28,Supplicibus uotis tu pia parce mei
201,280,Ergo nos aliam conuenit ire uiam
202,281,Hic prope degit anus subtilis et ingeniosa
203,282,Artibus et Veneris apta ministra satis
204,283,Postpositis curis ad eam uestigia uertam
205,284,Et sibi consilium notificabo meum
206,285,Fama tue laudis nomenque tue bonitatis - -
207,286,Causa miserunt me tibi consilij
208,287,Quod loquor auscultet pietas et gracia uestra
209,288,Alter et assensu nesciat absque meo
210,289,Diligo uicinam michi quam noscis Galatheam
211,29,Ne sis dura michi precibusque resistere noli
212,290,Ipsa suis dictis me nisi fallar amat
213,291,Non loquor ut uellem nam mille pericula uito
214,292,Quicquid in orbe manet sollicitus timeo
215,293,E minimo crescit sed non cito fama quiescit
216,294,Quamuis mentitur crescit eundo tamen
217,295,Parua nocent miseris miseros mala mille sequentur
218,296,Resque laborque meus spe manet in dubia
219,296a,Commoda communis non capit ulla labor
220,296b,Qui captem nosci sis inter nuncia nostri
221,297,Tu mala nostra uides tua uox eat inter utrumque
222,298,Deprecor ut nostrum crimen eundo tegas -
223,299,"""Alter amat quod amas et quod petis hoc petit alter"
224,3,Et feruentis adhuc non audeo dicere nomen
225,30,Sed fac que posco Non ego magna peto
226,300,Sed tamen assensum non habet inde - - meum
227,301,Est nimis ille probus et honesta coniuge dignus
228,302,Sed michi displicuit quod dare disposuit
229,303,Promisit ueteres cum pellicio michi uestes
230,304,Sic sibi uile meam munus ademit opem
231,305,Si datur ad tempus dat et affert commoda munu
232,306,Ius legesque suo destruit - - ingenio
233,307,Quam petis ut credo nisi per me nullus habebit
234,308,Nam nimis illa meo subiacet imperio
235,309,Insuper ipse sui sum dux et conscia facti
236,31,Dixi non magna misero michi magna uidentur
237,310,Et facit illa meis omnia consilijs
238,311,Non loquor ipsa diu tibi me premit altera cura
239,312,Carpat quisque uias et sibi querat opem
240,313,Hac michi prestat opem nec me premit altera cura
241,314,Hanc michi si dederis omnia prestiteris
242,315,Convenit hesternos mercari sepe labores
243,316,Emptus et ut capiat premia digna labor
244,317,Nulla parte tuum frustrabor crede laborem
245,318,Nunc quibus indigeo si michi provideas
246,319,Deprecor hoc unu mercedis dic michi nomen
247,32,Sed tamen ista dare non tibi difficile est
248,320,"Et quodcunque michi dixeris - ipse dabo"""
249,321,"""Plura uolunt et plura petunt quibus instat egestas"
250,322,Quantis indigeo tanta referre pudet
251,323,Diuicias habui multas dum floruit etas
252,324,Copia discessit pluribus indigeo
253,325,Me mea debilitas nimis exspoliauit et etas
254,326,Commoda nulla facit arsque laborque michi
255,327,Si modo nostra tibi prodesse iuuamina sentis
256,328,"Deprecor ut pateat hinc michi uestra domus"""
257,329,Hinc tibi nostra domus et cetera cuncta patebunt
258,33,'Annue' dic tantu Iam iamque beatus habebor
259,330,Sitque sub imperio copia nostra tuo
260,331,Multum grata michi modo nos concordia iunxit
261,332,Pactaque sollicitet inter utrumque fides
262,333,Hinc precor ut uigilet sollercia uestra laborque
263,334,Et racione - - suam rem bene prouideat
264,335,Principium finemque simul prudencia spectet
265,336,Rerum finis habet crimen et omne scelus
266,337,Verbi principium uerbi quoque conspice finem
267,338,"Vt melius possia premeditata loqui"""
268,339,"""Hac manet in uilla nimium formosa iuuentus"
269,34,Et sic euenient prospera cuncta michi
270,340,Crescit et in cunctis moribus ipsa bonis
271,341,Non fuit in nostro melior nec dulcior euo
272,342,Suscipit ipse meam tam bene pauperiem
273,343,Precellit cunctos omni bonitate coeuos
274,344,Pamphilus et socios laudibus exsuperat
275,345,Est stulto stultus et miti mitis ut agnus
276,346,Stulticie sapiens iure resistit homo
277,347,manet hac tante pubes probitatis in urbe
278,348,Quas acquirit opes non uorat ingluuies
279,349,Est nimis ille probus bona nam fuit eius origo
280,35,Est michi uicina uellem non esse puella
281,350,Arbore de dulci dulcia poma cadunt
282,351,Premonstrat signis prolem natura frequenter
283,352,Sepe solet similis filius esse patri
284,353,En iuxta portam uideo stantem Galatheam
285,354,Queque locuta fui forsitan audierat
286,355,Hic non esse modo quemquam Galathea putaui
287,356,Sed tamen ipsa nimis uera locuta fui
288,357,Pamphilus hac certe pre cuntis pollet in urbe
289,358,Egregie uitam proudet ipse suam
290,359,Illi semper honor et laus et gloria crescit
291,36,Si non subueniat gracia uestra michi
292,360,Et merito nullus inuidet inde sibi
293,361,Est nimium locuples sed non tamen inde superbit
294,362,Illius et nullum copia crimen habet
295,363,Esset ut ille tuus uellem - Galathea maritus
296,364,Hanc eciam uelles rem bene si saperes
297,365,Velle meum dixi sed non tamen ille rogauit
298,366,Vos simul esse meum iudicat arbitrium
299,367,Et genus et probitas et forma decens utriusque
300,368,Mecum concedunt - uos simul esse duos
301,369,Nostra modo uacuis deducimus ocia uerbis
302,37,Nam solet amoto plus ledere proximus ignis
303,370,Res tamen interdum grandia parua mouet
304,371,E minima mafnus scintilla nascitur ignis
305,372,Et generat paruum grandia principium
306,373,Mens mea concepit harum primordia rerum
307,374,Atque loqui nostris cepimus - - ingenijs
308,375,Sed nec rebus in hijs tua mens animusque mouetur
309,376,Si placet an pocius displicet inde loqui
310,377,Deprecor ut dicas quod dixeris ipsa tacebo
311,378,Si celare uelis siue referre loquar
312,379,Dic michi ne dubita stultum depone pudorem
313,38,Me si mota fotet lederet ipsa minus
314,380,Nam uenit a sola rusticitate pudor
315,381,Non michi rusticitas stultus michi nec pudor obstat
316,382,Sermo sed admiror quo uenit iste tuus
317,383,Nunc miror si te casus transmisit an ille
318,384,Pamphilus an querat premia sermo tuus
319,385,Semper iniquorum scelus impedit acta bonorum
320,386,Penas sepe luit quas homo non meruit
321,387,Quamuis pauper ego non sic michi premia quero
322,388,Nam michi sufficiens est mea pauperies
323,389,Primitus ut dixi mea mens conceperat istud
324,39,Fertur uicinis formosior omnibus illa
325,390,Altera tu nosti conscius omnis abest
326,391,Hoc satis esse potest si uos simul esse uelitis
327,392,Hoc et uterque potest absque pudore pati
328,393,Nobilis ille quidem nec nobilis es minus ipsa
329,394,Est utriusque satis nota propago michi
330,395,Pulcrior hic socijs - sociabus pulcrior ipsa
331,396,Cum specie species conuenit atque placet
332,397,Hoc utriusque probat par copia parque iuuenta
333,398,Famaque si sciret ipsa probaret idem
334,399,Quando pares estis sociari iure potestis
335,4,Nec sinit aspectus plaga uidere suos
336,40,Aut me fallit  amor omnibus aut superest
337,400,"Deficit in uobis nil nisi solus amor"""
338,401,Quod michi nunc dicis timor impedit ipse parentum
339,402,Assensu quorum coniugis opto thorum
340,403,Hos prius alloquere uel tu uel Pamphilus ille
341,404,"Res erit ad libitum pulcrior ista suum"""
342,405,Conuenit ut tua sit consensu teda parentum
343,406,Sed tuus interea militet ignis ei
344,407,Exercet corda iuuenum Venus ingeniosa
345,408,Quisque per hoc studium colligit ingenium
346,409,Incitat hec animos dat largius odit auaros
347,41,Hec mea transiecit certis precordia telis
348,410,Leticiam sequitur tristiciamque fugit
349,411,Narraret nullus Veneris quantum ualet usus
350,412,Huic nisi parueris rustica semper eris
351,413,"""Per Veneris morem uirgo cito perdit honorem"
352,414,Igneus ille furor nescit habere modum
353,415,Non leue pondus habent uiolenta Cupidinis arma
354,416,Hijs male seduci queque puella timet
355,417,Sepius immeritas accusat fama puellas
356,418,Omnia non cessat carpere liuor edax
357,419,Quod petis annuerem fame nisi uerba timerem
358,42,Tela nec inde queo ui remouere mea
359,420,Que magis in tali crimine lumen
360,421,Rebus in hijs maior nimis est infamia uero
361,422,Sed prestat uerum rumor et ipse cadit
362,423,Murmura rumoris curas removebo timoris
363,424,Vos uestrosque iocos calliditate tegam
364,425,Nam Veneris mores cognoscimus eius et artes
365,426,Et sic tuta meo res erit ingenio
366,427,Illum cum uideo michi consule quid sibi dicam
367,428,Quod michi predices tucius ipsa loquar
368,429,Hesito uelle meum tibi secretumque fateri
369,43,Vulneris inde mei crescit dolor annibus horis
370,430,Nam dolus insidias tendit ubique suas
371,431,Sed tamen experiar que sit tua lingua fidesque
372,432,Et qua parte tuum me trahat ingenium
373,433,Pamphilus ille meum pecijt sibi nuper amorem
374,434,Nos simul et uera iunxit amicicia
375,435,Sed nimis hoc cela soli sibi posco reuela
376,436,Non tamen incipies hac racione loqui
377,437,Illum sepe prius multo temptamine tempta
378,438,Quod dixi dicet forsitan ipse tibi
379,439,Hinc modo discede fac et precor omnia caute
380,44,Decrescitque decor usque colorque meus
381,440,Et tibi que dicit cras michi cuncta refer
382,441,Multociens hominis frustratur spesque laborque
383,442,Non res ut uolumus Pamphile nostra uenit
384,443,Tardior ad uestrum nimis aduocor ipsa iuuamen
385,444,Nam prodesse nequit arsque laborque tibi
386,445,Res ut testatur Galthee teda paratur
387,446,- Miror enim cultus quos parat illa domus
388,447,Sunt centum cause quibus istud suspicor esse
389,448,Sed tamen ista nimis celat uterque parens
390,449,Hoc tibi quod dico sapiencius accipe posco
391,45,Hec nulli dixi nec que michi uulnera fecit
392,450,Mitte quod esse nequit quere quod esse potest
393,451,Heu michi quo fugiunt uires et corporis usus
394,452,Mens mea non seruit nec mea lingua michi
395,453,Heu miser in nostris est nulla potencia membris
396,454,Horum quodque suum denegat officium
397,455,Spes mea me lesit per spem Venus ossibus hesit
398,456,Spes procul abscessit nec tamen ignis abest
399,457,Nulla parte suos mea cernit carbasa portus
400,458,Nec sentire potest anchora nostra solum
401,459,Nescit nostra suam qua querat cura salutem
402,46,Iustaque causa fuit dicere que uetuit
403,460,Fert Galathea meam sola doloris salutis
404,461,Causa mee mortis hec est et causa salutis
405,462,Qua si non pociar tunc placet ut moria
406,463,Stulte quid insanis quid te dolor urget inanis
407,464,Acquirit gemitus premia nulla tuus
408,465,Temperet ergo tuum modus et prudencia fletum
409,466,Terge tuas lacrimas prospice quid facias
410,467,Concipit ingentes animos inanis egestas
411,468,Et facit artificiem sepius hec homniem
412,469,Ars hominum magnum superat studiosa periclum
413,47,Dicitur et fateor me nobilioribus orta
414,470,"Te labor arsque uigil forte iuuaret adhuc"""
415,471,Quis labor heu tantum posset superare periclum
416,472,Spes mea tota perit imminet hora thori
417,473,Nec uiuente suo michi nuberet illa marito
418,474,Crimen legitimos est uiolare thoros
419,475,Ad nichilum prorsus labor est meus iste redactus
420,476,Et mea cura sue perdidit artis opem
421,477,Nulla dies mitem dabit et nox nulla quietem
422,478,Semper me miserum carpit inanis amor
423,479,Sepius exigua labor ingens labitur hora
424,48,Huic ideo metuo dicere uelle meum
425,480,Ingens ex paruis ymbribus aura cadit
426,481,Estque serena dies post longos gracior ymbres
427,482,Et post triste malum gracior ipsa salus
428,483,Tu modo respira dolor absit fletus et ira
429,484,Sunt prope magna tue gaudia tristicie
430,485,Nostrum uelle tua nobis faciet Galathea
431,486,"Omnino nostris se dabit imperij"""
432,487,Vt pia promissis matrum solercia uanis
433,488,plorantes pueros admouet ut taceant
434,489,Sic me fortassis falso solamine pascis
435,49,Fertur et est uerum quod me sit dicior illa
436,490,Vt dolor a tristi pectore tristis eat
437,5,Vnde futura meis maiora pericula dampnis
438,50,Et decus et dotes copia sepe rogant
439,51,Nec michi sunt dotes decus ingens - copia grandis
440,52,sed quod habere queo quero labore meo
441,53,Dummodo - sic diues cuiusdam nata bubulci
442,54,Eligit e mille quemlibet illa uirum
443,55,Illius in forma nostros tremor occupat artus
444,56,Et magis hoc uotum dicere causa uetat
445,57,Concipit ingentes animos fiducia forme
446,58,Inque modum dominam non sinit esse suam
447,59,Has de corde meo temptaui demere curas
448,6,spero salutis opem nec medicina dabit
449,60,Sepius obstanti tunc magis auxit amor
450,61,En mala nostra uides en nostra pericula nosti
451,62,Vnde preco precihus mitis adesto meis
452,63,Non michi respondes nec dictis porrigis aures
453,64,Nec tua clara meum lumina lumen habent
454,65,Aut tu tolle tuas nostro de corde sagittas
455,66,Aut tu seua tuis uulnera pasce modi
456,67,Quis posset curas tanti tolerare laboris
457,68,Que domino flenti premia nulla daret
458,69,Insto precando - michi nam dolor anxius instat
459,7,Quam prius ipse uiam meliorem carpere possim
460,70,Assiduasque preces concipit inde dolor
461,71,Tunc Venus hec inquit Labor improbus omnia uincit
462,72,Quolibet et poteris ipse labore frui
463,73,Et monstrare tuos animos nulli uerearis
464,74,Vix erit e mille que neget una tibi
465,75,Quamque precando petes prius aspera forte negabit
466,76,Sed leue pondus habet ipsius asperitas
467,77,Nam iurando prius quos uenditor ipse negabat
468,78,Venales census improbus emptor habet
469,79,Nec mare transisset pauidus si nauta fuisset
470,8,Heu michi quid facia Non bene tuts eo
471,80,Turgida cum primum restitit unda rati
472,81,Ergo tuis primum si non fauet ipsa loquelis
473,82,Arte uel officio fac tamen ut faueat
474,83,Ars animos frangit et firmas diruit urbes
475,84,Arte cadunt turres  arte leuatur onus
476,85,Et piscis liquidis deprenditur arte sub undis
477,86,Et pedibus siccis per mare currit homo
478,87,Rebus et in multis ars adiuuat officiumque
479,88,Pauper sepe suo pascitur officio
480,89,Et quamuis iusta sedatur principis ira
481,9,Conqueror estque mee iustissima causa querele
482,90,Seruet et illesum corpus opesque suas
483,91,Et gaudet locuples qui flere solebat egenus
484,92,Et iam uadit eques qui solet ire pedes
485,93,Quod donare sibi minime potuere parentes
486,94,Hoc exercenti iam dedit officium
487,95,Officiumque tuum primum si forte recusat
488,96,Tu seruire tamen esto paratus ei
489,97,Hijs poteris superare minas causantis amice
490,98,Fiet amica tibi que prius hostis erat
491,99,In quibus esse solet loca sepius illa frequenta
